User Name,body,created_at,id,sentiment,symbol,username
tactical,$AAUKF closing gap into model purchase zone on quants (LSE Listing circa 19.50) partial allocation building into model base $$,2012-09-20T09:53:00Z,9604105,Bullish,AAUKF,TacticalQuant
Aaron Jackson,Most japanese ADRs are sitting near lows.  Value or value trap?  $ewj $sne $pc $caj $mitsy,2012-10-06T01:03:13Z,9858821,Bearish,MITSY,ATMcharts
Ian,$SLW $RGLD $TRX Are Royalty Companies With The Down $TRND In $SLV $GLD $PPLT $PALL IMO Bottom Form: $SWC $PLG $SA $AAUKF $PAL $NEM $AEM $EGO,2013-06-27T00:42:21Z,14316534,Bullish,AAUKF,TheAmerican
Market Impulses,$AXAHY  moving towards the Objective after the SELL signal at 19.57 given last Friday http://stks.co/t0Bbc,2014-04-08T09:30:12Z,21837298,Bearish,AXAHY,Market_Impulses
Marketmath,"$AAUKF AAL.L , seems to be forming a bearish scallop formation for a third time.  http://stks.co/c0qTr",2014-08-04T11:05:10Z,25343226,Bearish,AAUKF,marketmath
Michael Angelo Mustillo,Small bizjet orders picking up. http://stks.co/r0f9e $ERJ $BBD.B.CA $GD $DASTY,2014-08-12T15:02:18Z,25646970,Bullish,DASTY,rocketPower
etradebaby,$MTLS I think $12.82 would be a good spot to sell short term. thoughts? $DASTY $DDD $SSYS  http://stks.co/q0gbJ,2014-08-19T20:54:50Z,25917338,Bullish,DASTY,etradebaby
TraderX82,"$DASTY solid trend on the weekly, like the setup LT,if it can get a little pullback  to $65 on sector weakness that would be a definite buy.",2014-09-17T00:12:26Z,26864030,Bullish,DASTY,TraderX82
SpecialSits101,"Would&#39;ve thought $FCX is the natural buyer for $EXXI, but hearing $REPYY is very interested now in whole co.  Pockets certainly deep enough.",2014-09-20T23:24:32Z,27028346,Bullish,REPYY,SpecialSits101
D.R.,$BNPQY $AIG $BCS $AXAHY $DB $SCGLY $OMVKY $EBKDY $GGB $AGESY $SUBCY these stocks were selected using our Value and Dividends StockScan,2014-10-16T13:59:49Z,28059882,Bullish,AXAHY,SFOscanner
Investix,Glad I got my piece of $DASTY yesterday during the drop to $62.05. No way I&#39;m selling for years.,2014-12-04T16:51:16Z,29894605,Bullish,DASTY,investix
Callum Turcan,$BP &#39;s production/exploration upside in T&amp;T makes it a buy http://stks.co/r1Ewv $REPYY $XOM $CVX $COP $RDS.A $STO $TOT $EOG $RDS.B $Hal $E,2015-01-06T12:49:39Z,30923442,Bullish,REPYY,pacmaneatsyou
Callum Turcan,$BP upside from T&amp;T thru exploration and Juniper dev w/ $REPYY - will add 555 MMcf/d in natgas output http://stks.co/q1KiN $BHP $EOG $XOM,2015-01-24T07:28:29Z,31707643,Bullish,REPYY,pacmaneatsyou
Alvaro Salazar,$DASTY great fundamentals and good looking chart http://stks.co/t1XpT,2015-02-20T19:16:08Z,32962873,Bullish,DASTY,neoalvaro
Jorge Quincoces,Swing #Trading Long $REPYY #OTN ·NYSE or #REP on Spanish #Ibex on strong quaterly results,2015-02-27T14:29:27Z,33290558,Bullish,REPYY,elnidodelaguila
Marc Munoz,$IFNNY - TIME TO BUY 3/23/2015 Wall Street Journal reported: Infineon Raised to Buy From Hold by Deutsche Bank  http://stks.co/a1wsy,2015-03-25T19:37:05Z,34526707,Bullish,IFNNY,StocTrader
Marc Munoz,$IFNNY 3/25/15 Infineon &amp; GE Ventures fund $50M Euro in TTTech to Scale its Robust Network Solutions for IIT &amp; it&#39;s Autonomous Driving Cars,2015-03-25T19:44:20Z,34527375,Bullish,IFNNY,StocTrader
Engin Erbay,$AZSEY AZSEY. ...,2015-03-29T17:26:02Z,34684177,Bullish,AZSEY,hi_dutengin
tracy,$SIRI $NSANY Team will be good,2015-04-02T14:12:12Z,34889158,Bullish,NSANY,dizzyt
Marc Munoz,$IFNNY aka $IFX.DE sppointed Citi as lvl 1 ADR successor depositary bank $IFNNY ^ @ $12.22 is slowly aproaching it&#39;s all time high of $12.84,2015-04-02T18:00:54Z,34908912,Bullish,IFNNY,StocTrader
Alexander Valtsev,"$AAUKF still in trouble, 3 years later. Check out the reasons behind my SELL recommendation: http://stks.co/p1o3c",2015-04-06T01:53:38Z,34963949,Bearish,AAUKF,alexandervaltsev
Marc Munoz,"$IFNNY Another HOD Infineon develops semiconductors &amp; system solutions for auto &amp; industrial electronics, chip card &amp; security applications.",2015-04-07T16:14:45Z,35037097,Bullish,IFNNY,StocTrader
Federico Rodenas,"$MCP Molycorp Next contract : $AAPL $SSNLF $FSLR $TSLA $NSANY $TM $SHCAF
#defencepartment #departmentofenergy",2015-04-16T02:47:40Z,35445363,Bullish,NSANY,Rodenas
Federico Rodenas,$MCP Molycorp who is Next contractor ? Wait for nex PR $AAPL $SSNLF $FSLR $TSLA $NSANY $TM $SHCAF,2015-04-16T15:34:39Z,35468934,Bullish,NSANY,Rodenas
Federico Rodenas,Another future market for $MCP who is next contractor ? $GM $TM $NSANY $TSLA $F $BMW  $HMC $DDAIF $FCAU http://stks.co/e23wt,2015-04-17T12:09:50Z,35511523,Bullish,DDAIF,Rodenas
Federico Rodenas,$MCP who is next contractor ? $GM $TM $NSANY $TSLA $F $BMW $HMC $DDAIF $FCAU http://stks.co/g28eL,2015-04-17T15:05:07Z,35525191,Bullish,DDAIF,Rodenas
Rafilsk,"$MBLY Connected cars and broadband wars http://stks.co/h29VG $GM, $BAMXY, $VLKAY, $NSANY, $TSLA, $MBLY, $NVDA",2015-04-18T23:42:56Z,35565773,Bullish,NSANY,SurfWeil
Peter,$NSANY love the new maxima and mutant,2015-05-09T14:16:33Z,36646820,Bullish,NSANY,LUV2WATCHSTOCK
Deng Xiaoping,$REPYY - BobaTrades upgrades to buy...Price Target: $25,2015-05-11T16:41:07Z,36695809,Bullish,REPYY,BobaTrades
Deng Xiaoping,$DASTY - Dassault to double Rafale output in two to three years    http://stks.co/f2MAs,2015-05-18T16:28:35Z,37041739,Bullish,DASTY,BobaTrades
Michael S DeVries,$MTLS Materialise NV is a partner on $DASTY living heart project as well =&gt; http://stks.co/r26yL #MaterialiseNV #3Dprinting #MTLS,2015-05-21T10:14:24Z,37213783,Bullish,DASTY,MichaelSDeVries
Edward Rooster,"$DASTY lots of frayed nerves globally + animus against the US, gives leg up to French arms industry;they have 3D too",2015-05-25T15:58:37Z,37353960,Bullish,DASTY,edwardrooster
Edward Rooster,"$EADSY EADS Up, up and away #europe $europe",2015-05-25T16:09:22Z,37354097,Bullish,EADSY,edwardrooster
Wyatt Research,Self-Driving Cars Are Here to Stay http://stks.co/h2cqr $TSLA $AUDVF $DDAIF $NSANY,2015-06-22T15:07:41Z,38600046,Bullish,DDAIF,wyattresearch
Antonio Costa,$DEO $VOD $DTEGY upgraded by Nomura to Buy,2015-06-23T09:30:27Z,38643638,Bullish,DTEGY,ACInvestorBlog
Jacko Jackie,$APF,2016-08-30T20:07:27Z,61667784,Bearish,APF,jacko2
