User Name,body,created_at,id,sentiment,symbol,username
Matt Cohen,"$OMAM in at $17.15 in March; good growth prospects, beat est again &amp; analysts expecting outperformance with still-good upside. Good combo.",2015-05-20T03:14:22Z,37137843,Bullish,OMAM,WiseInvestor
Ratings,$OMAM is a BUY with 19.3% upside to current price of $18.02 based on averages of all analyst ratings/targets http://stks.co/j2ZpW,2015-06-16T02:35:04Z,38304645,Bullish,OMAM,Ratings
Msm,&quot;@Daily_Stock_Plays Volume Losers http://stks.co/g2aFd $SMFG $CAPL $OSK $TAHO $GBX $DBB $OMAM $IMI $VHI $HLTOY $GEK $FEU $ISH $CSD&quot; $ISH,2015-06-17T03:32:55Z,38364004,Bullish,OMAM,MoneyMike17
Tony Mullins,95Check out our video lesson on WLL DRYS SCON LEI and GLBS. https://youtu.be/Hr0Y4cwuMfc W/L: $ARCO $ETY $MDU $SIR,2016-12-01T09:04:40Z,68216902,Bullish,ETY,TMullins101
Derick Mann,95Check out our video lesson on WLL DRYS SCON LEI and GLBS. https://youtu.be/Hr0Y4cwuMfc W/L: $ARCO $ETY $MDU $SIR,2016-12-01T13:01:17Z,68223505,Bullish,ETY,Sizzle101
Roger Smalls,95Our team is making huge gains on MEMP SGY ARLZ HTBX BCEI today We&#39;re watching: $ARCO $ETY $MDU $SIR tomorrow!,2016-12-02T07:11:29Z,68329860,Bullish,ETY,RogerS1
Earl Moore,2/15 Watch/potential plays: $AWP $IGR $ALDW $CG $EFT $ENBL $ETJ $ETY $GMZ $RIV $KKR Holding: $RGSE $SGYP $ETRM $ZSAN $TPLM $CTRE $TIER $AKAO,2017-02-15T08:17:02Z,74660438,Bullish,ETY,EarlEarnest
Stockflare Alerts,$EEX: The forecast EPS for Emerald Expositions Events Inc has increased to $1.07 from $0.68 in the last week. (https://stockflare.com/stock/EEX),2017-05-30T09:42:06Z,84454662,Bullish,EEX,stockflare_alerts
Stockflare Alerts,$EEX: Emerald Expositions Events Inc is cheaper today at 20x earnings than it was a week ago at 32x earnings. (https://stockflare.com/stock/EEX),2017-05-30T09:42:08Z,84454663,Bullish,EEX,stockflare_alerts
Stockflare Alerts,$EEX: The forecast long term gain for Emerald Expositions Events Inc has decreased substantially in the last week to 47.87% from 57.71%. (https://stockflare.com/stock/EEX),2017-05-30T09:42:20Z,84454665,Bearish,EEX,stockflare_alerts
Stockflare Alerts,$EEX: Emerald Expositions Events Inc&#39;s price is -7.8% but the forecast earnings moved 0.6% over the last week. (https://stockflare.com/stock/EEX),2017-05-31T09:41:48Z,84560467,Bullish,EEX,stockflare_alerts
Stockflare Alerts,"$EEX: Emerald Expositions Events Inc has lost a star, now a 4 star stock. (https://stockflare.com/stock/EEX)",2017-06-08T11:07:05Z,85348658,Bearish,EEX,stockflare_alerts
Stockflare Alerts,$EEX: The forecast long term gain for Emerald Expositions Events Inc has decreased substantially in the last week to 7.5% from 35.23%. (https://stockflare.com/stock/EEX),2017-06-08T11:07:07Z,85348660,Bearish,EEX,stockflare_alerts
Stockflare Alerts,$EEX: The long term growth forecast for Emerald Expositions Events Inc has decreased substantially in the last week to 9.61% from 37.21%. (https://stockflare.com/stock/EEX),2017-06-08T11:07:07Z,85348664,Bearish,EEX,stockflare_alerts
